Model,AUC,Brier,Log Loss,Accuracy
Logistic Regression,0.7847087896044146,0.1893929362667657,0.5623513267082456,0.7183590340413151
GBDT,0.7969557771451893,0.1878867184551877,0.5582568789963737,0.7214140238580157
Blend,0.7952603325031139,0.18490374368457513,0.5480469986055072,0.7225778295024731
